Epochs,Batch_Size,Learning_Rate,Filters,Best_Val_Accuracy,Model_Path
10,8,0.001,"[16, 32, 64, 128, 256]",0.9508928656578064,models/UNet_e10_bs8_lr0.001_f16_32_64_128_256.keras
10,8,0.001,"[32, 64, 128, 256, 512]",0.9505091905593872,models/UNet_e10_bs8_lr0.001_f32_64_128_256_512.keras
10,8,0.01,"[8, 16, 32, 64, 128]",0.932458221912384,models/UNet_e10_bs8_lr0.01_f8_16_32_64_128.keras
10,8,0.01,"[16, 32, 64, 128, 256]",0.8360951542854309,models/UNet_e10_bs8_lr0.01_f16_32_64_128_256.keras
10,8,0.01,"[32, 64, 128, 256, 512]",0.8360951542854309,models/UNet_e10_bs8_lr0.01_f32_64_128_256_512.keras
10,16,0.0001,"[8, 16, 32, 64, 128]",0.8360926508903503,models/UNet_e10_bs16_lr0.0001_f8_16_32_64_128.keras
10,16,0.0001,"[16, 32, 64, 128, 256]",0.8360951542854309,models/UNet_e10_bs16_lr0.0001_f16_32_64_128_256.keras
10,16,0.0001,"[32, 64, 128, 256, 512]",0.8360951542854309,models/UNet_e10_bs16_lr0.0001_f32_64_128_256_512.keras
10,16,0.001,"[8, 16, 32, 64, 128]",0.8360951542854309,models/UNet_e10_bs16_lr0.001_f8_16_32_64_128.keras
10,16,0.001,"[16, 32, 64, 128, 256]",0.9423741102218628,models/UNet_e10_bs16_lr0.001_f16_32_64_128_256.keras
10,16,0.001,"[32, 64, 128, 256, 512]",0.9478657841682434,models/UNet_e10_bs16_lr0.001_f32_64_128_256_512.keras
10,16,0.01,"[8, 16, 32, 64, 128]",0.8360951542854309,models/UNet_e10_bs16_lr0.01_f8_16_32_64_128.keras
10,16,0.01,"[16, 32, 64, 128, 256]",0.8360951542854309,models/UNet_e10_bs16_lr0.01_f16_32_64_128_256.keras
10,16,0.01,"[32, 64, 128, 256, 512]",0.8360951542854309,models/UNet_e10_bs16_lr0.01_f32_64_128_256_512.keras
20,2,0.0001,"[8, 16, 32, 64, 128]",0.95623779296875,models/UNet_e20_bs2_lr0.0001_f8_16_32_64_128.keras
20,2,0.0001,"[16, 32, 64, 128, 256]",0.9638671875,models/UNet_e20_bs2_lr0.0001_f16_32_64_128_256.keras
20,2,0.0001,"[32, 64, 128, 256, 512]",0.96563720703125,models/UNet_e20_bs2_lr0.0001_f32_64_128_256_512.keras
20,2,0.001,"[8, 16, 32, 64, 128]",0.95703125,models/UNet_e20_bs2_lr0.001_f8_16_32_64_128.keras
20,2,0.001,"[16, 32, 64, 128, 256]",0.95733642578125,models/UNet_e20_bs2_lr0.001_f16_32_64_128_256.keras
20,2,0.001,"[32, 64, 128, 256, 512]",0.95758056640625,models/UNet_e20_bs2_lr0.001_f32_64_128_256_512.keras
20,2,0.01,"[8, 16, 32, 64, 128]",0.9070219993591309,models/UNet_e20_bs2_lr0.01_f8_16_32_64_128.keras
20,2,0.01,"[16, 32, 64, 128, 256]",0.9089637994766235,models/UNet_e20_bs2_lr0.01_f16_32_64_128_256.keras
20,2,0.01,"[32, 64, 128, 256, 512]",0.8355351090431213,models/UNet_e20_bs2_lr0.01_f32_64_128_256_512.keras
20,8,0.0001,"[8, 16, 32, 64, 128]",0.8360951542854309,models/UNet_e20_bs8_lr0.0001_f8_16_32_64_128.keras
20,8,0.0001,"[16, 32, 64, 128, 256]",0.8360951542854309,models/UNet_e20_bs8_lr0.0001_f16_32_64_128_256.keras
20,8,0.0001,"[32, 64, 128, 256, 512]",0.9523490071296692,models/UNet_e20_bs8_lr0.0001_f32_64_128_256_512.keras
20,8,0.001,"[8, 16, 32, 64, 128]",0.9538922905921936,models/UNet_e20_bs8_lr0.001_f8_16_32_64_128.keras
20,8,0.001,"[16, 32, 64, 128, 256]",0.9535697102546692,models/UNet_e20_bs8_lr0.001_f16_32_64_128_256.keras
20,8,0.001,"[32, 64, 128, 256, 512]",0.95184326171875,models/UNet_e20_bs8_lr0.001_f32_64_128_256_512.keras
20,8,0.01,"[8, 16, 32, 64, 128]",0.8361346125602722,models/UNet_e20_bs8_lr0.01_f8_16_32_64_128.keras
20,8,0.01,"[16, 32, 64, 128, 256]",0.9401105046272278,models/UNet_e20_bs8_lr0.01_f16_32_64_128_256.keras
20,8,0.01,"[32, 64, 128, 256, 512]",0.8360951542854309,models/UNet_e20_bs8_lr0.01_f32_64_128_256_512.keras
20,16,0.0001,"[8, 16, 32, 64, 128]",0.8360951542854309,models/UNet_e20_bs16_lr0.0001_f8_16_32_64_128.keras
20,16,0.0001,"[16, 32, 64, 128, 256]",0.8360951542854309,models/UNet_e20_bs16_lr0.0001_f16_32_64_128_256.keras
20,16,0.0001,"[32, 64, 128, 256, 512]",0.8360951542854309,models/UNet_e20_bs16_lr0.0001_f32_64_128_256_512.keras
20,16,0.001,"[8, 16, 32, 64, 128]",0.9515206217765808,models/UNet_e20_bs16_lr0.001_f8_16_32_64_128.keras
20,16,0.001,"[16, 32, 64, 128, 256]",0.9549560546875,models/UNet_e20_bs16_lr0.001_f16_32_64_128_256.keras
20,16,0.001,"[32, 64, 128, 256, 512]",0.9527239203453064,models/UNet_e20_bs16_lr0.001_f32_64_128_256_512.keras
20,16,0.01,"[8, 16, 32, 64, 128]",0.8934046626091003,models/UNet_e20_bs16_lr0.01_f8_16_32_64_128.keras
20,16,0.01,"[16, 32, 64, 128, 256]",0.9136988520622253,models/UNet_e20_bs16_lr0.01_f16_32_64_128_256.keras
20,16,0.01,"[32, 64, 128, 256, 512]",0.8360951542854309,models/UNet_e20_bs16_lr0.01_f32_64_128_256_512.keras
